prod_id,summ_1,summ_2,summ_3,comments
B000JCDUFG,the customers feel that the newspaper they bougth is worth reading and got information regarding the local activities and prices are reasonale too.,"the newspaper is a nice read with updated news everyday. however it doesn't always arrive on time, and it has some delivery problems.",the newspaper is easy to read and navigate and apart from some delivery issues is well made,
B000M92GLK,"a headset that is light and comfortable with a good fit and good quality and very loud sound, for a lower price.","this bluetooth handsfree works great, has very good clarity and noise cancellation, is easy to use, requires no configuration, charges through pc usb port, and the sound is sharp, clear, and crisp.it is sometimes not recognized by the system for use.","the headset is well made and it's really easy to connect to bluetooth. the microphone has a nice quality and the sound is good. however it has mechanical problems, and the material quality isn't the highest.",
B000Q5J2M6,"Overall the reviews are mixed, while some users note the superb audio quality and other users are disappointed and received a defective unit.","A lightweight Bluetooth headset. Compatible with many devices, including iPhone. Automatic answer feature. Loud incoming call volume.","the headset offers good volume control for incoming sounds, but it sometimes has a problem holding a charge.",
B000SRGF2W,"This short military romance story, Male Call, was predictable but enjoyable. The letters the characters write to each other helped move the story along.",short story with a lot of sex. seems a bit immature. needs more to the story about when he comes back home.,"the book brings fun to readers, at a good price, but the plot is short and deals with a lot of sexual content.",
B000WCWUWM,a simple and fast paced book with interesting characters. it takes readers on a journey about wolves and love.,"the book is decent, with a simple storyline and the characters are well written. however, even though it's a quick read it lacks details.","a basic and simple love story to read. characters are very likable, besides lainey, she is a little bit to much.",
B0018969BG,"the product is a bluetooth headset targeted toward use in hands-free calling. it was found to be easy to setup and use and matched favorably when compared against other similar products. however, it garnered some criticism over having low audio quality.","This bluetooth device has a reasonable price that most people can afford. It does however, hang off of your ear and can fall off while speaking. There can be some static depending where you are at the moment. The overall quality by most customers consider this a great  and useful item to have.",This is a comfortable headset. It is not compatible with all devices. It is easy to connect. The contour to the ear could be better. It is affordable and nicely packaged. The light can be turned off when in use.,
B001AS6J24,inexpensive phone cover that that stays on the phone. color is close to the phone color but scratches off easily.,this affordable case has a nice rubber texture and comes with a clip on the back. the color is well matched to the phone but the color can wear off. it fits well to the phone but can be hard to remove.,The case fits the phone perfectly and color scheme is perfectly matching. The Rubberization is protective,
B001B4AAJ0,the case is attractive and has a film screen protector which can chip and get bubbles from moisture. the case is rubberized to make gripping the phone easier but the rubber details chip and peel off. the case provides good protection against drops and bumps.,the case doesn't fit right and it causes scratches on the phone but it is protective and subtle,"The case is solid protection, but the outside coating peels very quickly, and the screen protector makes bubbles under it",
B001E42QBW,"Customers are generally happy with the battery life, it is very convenient to reach, although some complain that they get an error message on the iphone when connecting the charger, there are also complaints that it gets too hot.",The battery in the iPhone is very well made which can be charged in a very short period of time while talking on the phone or various functions will inevitably cause a sudden switch to the interior but the battery backup works properly without consuming too much battery while talking,the juice pack is great for iphone charging on low battery when you are out. it can get a bit hot with extended use and it can fall apart easily.,
B001HVWUDG,"the headset arrives with a dual mic and the income speech is clear. the products hold the charge well. however, they have a few problems with the materials, which can hurt the ear if they don't fit perfectly.",useful bluetooth headset at an affordable price. it lets you be hands free and accomplish everything that you need to while getting work/personal life done at the same time.,the headset has an excellent price point and good sound quality. the volume of calls can be too low and the fit is awkward for some wearers.,
B001MYLTDA,"phone is good for business use, but not everyday use. it has little buttons on the keyboard, that make it hard for some people to type with. short battery life. phone doesn't last that long.","this phone has a lot of capabilities almost as if it a minicomputer. however, it is a small device suitable for women due to its button arrangement. the has a lot of great features including a really great camera but yet it seems to be not so rugged or resilient.","this is a powerful phone with many features that will appeal to technology enthusiasts. however, it is not the most reliable device and many of the features can be difficult to use. it may not be the ideal device for someone who wants something minimalist and reliable.",
B001N48GGC,"this is a great song, it has great lyrics, but it's not the original version.",the music was good but it wasn't the original and many are still hunting for the original version of it. because the original version of the song was great.,it is not the original song but some people liked this version while others hated it,
B001NZ0WP4,"While fans of Dr. Dre will likely be happy to add this CD to their collection, they will find it one of his least impactful works. It does not rise to the level of previous music in terms of originality, quality, or even being able to listen to Dr. Dre himself.",Well produced album by Dr. Dre. Some of the bigger rap fans wouldn't see this as his best but it is well worthed the price.,there seems to be a lot of disappointment coming from most people.  many state that dr. dre had many other albums which were much better in quality.  some people state that there are too many other musicians in this album who are not worthy of it.,
B001PKTRVM,"The phone will work initially, but many who have purchased it are plagued by screen freezes and other issues. You will need to contact ATT if you have any of these issues.","the product arrives just as described. it has a dual-sliding keyboard and the price is quite affordable. the phone arrives with many interesting features, however, it isn't the most comfortable for texting.",I think this phone is best for people who do not text that much. Mostly for people who do a lot of calling and don't need a lot of memory. There seems to be a lot of problems for the phone if you want to use a bunch of different apps or text a lot.,
B002DRMPMY,"the cord seemed a bit shorter than what was listed. although it does work it seems flimsy, and doesn't always work that well across a multitude of devices and/or configurations -- but it's decent enough just as a charger alone.","The adapter is very affordable. It is functional but it can become hot with use. It includes a car charger, cable, and wall charger. The cord is not as long as pictured.",for the price this charger works very well. the cord is a little short but for the price it will be helpful. it charges the phone just fine and therefore works the way it needs to.,
B002EOTJFM,"the case will look different from what is pictured, as there are two pieces that clip together.  the pieces break often, but will protect your phone from damage.",The case is quite made well especially for the price. Though sometimes it snaps off when your phone falls but it does the job of protecting the phone.,"the case is clear and can be modified to the owner's taste. it is made of plastic which protects a phone somewhat. however, this case will not fit all phones.",
B002JWJYX6,"If you frequently remove the case then it is going to leave some impact on it. Overall the product is nice and sleek, at the same time you are going to get what you are paying for. So keep an eye on that aspect also.",cheap and inexpensive phone case which ships quickly. it can be hard to put on or take off it's also very sturdy as well.,"Inexpensive phone case that arrives on time, but has some quality defects as sometimes the case can be difficult to install or remove, and sometimes the case breaks within the first few days of use.",
B002QIQ76K,This is a great case. 5 color option but only 3 shown. It is not compatible with the touchtone charger,The colors of the covers are all pretty and the cover fits and protects well but the screen protectors are often of low quality and don't cover the screen well,"this phone case is very affordable and sturdy with the exception of the screen protector, which is difficult to attach and not user friendly.",
B002S5R4IG,"the item is inexpensive and, if it works with certain phones, it works well enough. there are some issues with missing features, overall cheap build quality, and unusual alignment preventing it from being great. this is a decent budget choice if it's used with the right phone.","it is perfect and works great, adapter is doing exactly what it's supposed to do. but it's mono instead of stereo",only works with music. have a lot of problems with it. does not look like the item pictured.,
B002V6A2PE,The phone case is initially good but it becomes useless after a couple of uses. It either breaks or the rubber layer breaks down or the plastic degrades over time. Basically it's not widely accepted as a good phone case worthy of your money.,the product does as intended. it has a rubber coating and fits properly on the device. after some time there is deterioration. the clip can break off after some use.,"A case with a rubber coating, inexpensive so it's easily replaceable if broken or damaged. Primarily used as an in-between phone case for when you're waiting for your permanent case to show up for your device. Prone to damage on just one fall with crucial clip parts breaking on first impact typically. Economical for use for short period of time and replace use case, or if you're protecting multiple devices where the devices are known to need protection from the elements and the case isn't mean to last. May not fit devices perfectly and parts may deteriorate at a faster rate if the device has a lot of movement in the case. Known to be described as cheap and rubber-like coating is prone to peeling.",
B002WC7RKA,"Most users note they enjoy the case and it provides good protection. Some users note the case started falling apart after 2 months, but overall the quality and fit is good.","the general consensus about the product is mixed; while it is generally apprecciated for its protection quality, there were several complaints about its duration, as many reviewers reported a rapid wear and tear of the leather cover.",it protects phones quite well when dropped. the case itself has a few weaknesses such as the front casing showing wear and cracking. the clips are a bit weak as well and can break. case fits the phone well.,
B0036FTZZW,The plot of the book was excellent and very exciting except for a few grammatical errors. The characters are real and the twists made it interesting to read to the end.,"an intriguing and exciting book for those interested in why lawyers take on legal cases, knowing their clients are guilty. the story includes unforeseen twists/turns, keeping the reader engaged - if you can see past the execution errors. unfortunately, this book falls short, riddled with grammar and proofreading mistakes.","a book with an interesting theme and story, with some grammatical errors in the book, and with an interesting ending.",
B003SU4ZRS,the phone case is thin and mostly useful as a decoration rather than protection for the phone. it doesn't add excess weight to the phone.,the screen protector is relatively of good quality. it reduces risk of damage of your phone and fingerprints are reduced. comes with covers from the side and back. its worth your money and will serve you right.,"the screen protector is well made and it reduces fingerprints. however, the size isn't always the right one and the holes don't fit perfectly.",
B003UO175U,"iPhone touch portion is somewhat protected but not against bubbles, and people spend a lot of money to buy this phone. The protector is also send along with.  Shipping is  fast.  Slightly want to improve the package of this type of costly iPhone.",great price. only works for certain iphones. sometimes it is hard to apply the screen protector to the phone properly. the ad says it comes with 3 but sometimes only 1 is received.,the product can be tricky to apply neatly to a phone screen. there are problems with the company sending the correct product. the protective film is low cost and doesn't last long under normal use but comes in a three pack.,
B003VDC4PW,"These protectors are normally very quick to arrive, and are much thinner than other screen protectors on the market. This is a pack of five for quite a low price, and are only large enough to cover the LCD screen of your phone, not the entire phone face. Like most screen protectors, you have to really work the air bubbles out after installation because no tool comes with the product to help you squeegee the bubbles out.","the product is well made, arrives well-packaged and the screen is pleasant to the eye. however, it processes features a bit slowly.","These screen protectors are a good value for a pack of five. Easy to install with no bubbling. However, this is ONLY for the screen and NOT the whole phone.",
B003ZHPWKS,it's an affordable case so you get what you pay for. this case is for those looking for a cheaper alternative to the big brands.,"This case looked like metal in the pictures, and was priced like metal, but in reality it is cheap plastic that easily cracks and breaks. It seems to fit just fine on the phone but the picture was deceiving as to how much of the phone was covered.",looks different than the picture. breaks easily after not much use. doesn't offer much protection to the phone.,2 disagreements
B0043RTJEY,"The product itself is well made, has nice colours and beautiful aesthetics, however the top cover is pretty delicate and tends to break pretty easily if not taken precaution. It has an affordable price which makes it accessible to the majority of people even tho it often presents few problems.",The cover does not give adequate protection. It is really difficult to reach the seller as they are unresponsive.,"the case fits the product perfectly and it's really nice to hold. it arrives quickly and has a good customer service. however, the colours are not as bright as they seem in the description page.",
B0046SHQG8,great headphones and has good sound quality. and the product has average quality and best sound quality. the fitting of the headphone should be increased. this is not stick and tangle. overall a good product for this price and this unique with its features but last for only few months.,"these headphones function well but may not last a long time. they can replace apple headphones. the fit is good. there is a nice silver circle on the back. they have a mic, controls, and a tangle-free cord.","the planatronics head phones have a good sound quality. they look classy. the downside is that they malfunction after a while, and they no longer work.",2 disagreements
B004BB1OLI,you get 3 products but there is no guarantee that all will work. if that happens you can contact the company and they will fix the problem.,"In the three pack, assorted chargers seem to be hit or miss, but at this price, it's an overall win. Handle with care as they are fragile and can easily become broken.",these chargers are affordable and they work well. the usb cord can be problematic when syncing with the computer. they need to be carefully removed from devices.,
B004CMIB8K,"it's a good case, it fits well on the phone, it's beautiful and it's low cost, but it's fragile and may not be resistant to impacts, in addition, it's necessary to remove the case to take pictures with flash.",this is a good cheap case for iphone. it protects the iphone well and it looks good and has a nice tight fit on the phone. overall it's a good purchase,"This is a slim and snug phone case for the iPhone. It is lightweight and attractive. However, some have complaints that due to the thinness certain parts of the case break off easily. It has received very mixed reviews.",
B004JZFWVO,this iphone case is really great and it's not too bulky but it protects the phone well. the grippers are wonderfully working.,the phone case is nice. it is comfortable to my phone. screen protection kit wast not included in this case. this is one of the problem. the rubber side have a nice feel to use this case.,"Buying product is iPhone case. Most of the reviews is positive. Some reviews tells color problem, scratch in back side, not fit to correctly, side button rough handling etc...Otherwise, this product looks like good...",
B004LZ576M,This book covers the evils in the world and evil acts that people have committed. It gives lots of information although it can be long for some.,It is an interesting and informative book particularly in history but it is lacking a few historical details,"it is an interesting book, very informative, but there are some typos and lack of information about several people mentioned in the book.",
B004MGCD0I,"the case is beautiful and has a low cost, but there may be differences in sizes and it may not fit the phone well, in addition, the material is fragile and breaks easily.","this phone case is beautiful and attractive, but it is fragile and difficult to fit on the phone, making it not very durable.",the case is ascetically pleasing to the eye.  the case is for the thunderbolt and it is an extremely tight fit.  this case is made of plastic and the thickness of the case adds bulk to the phone.  this case is more decorative that protective.,2 disagreements
B004U349UA,"Grammatical errors and typos spoil what is otherwise an interesting read. It is at least worth a look, if only because the premise is intriguing.","the story has a lot of grammar errors. the story is more for a mature audience, as it has traumatic points. a good ending that has the earlier parts of the story come together",An interesting yet rough story about escapism and overcoming illness  While the Second Ward has a lot of issues the story is interesting enough to draw anyone in. Well worth the Read.,
B004VMZZ3K,"a feature-rich phone with a medium feel to the touch, a bit overpriced, but overall it promises what it is described.",the phone is nice but there is problem with at&t sim as it makes phone freeze. other than that it is excellent,"The phone has all the needed features like bluetooth-camera-wifi connection and many others, it's comfortable to use and hold in your hand. However it arrives with a ""Unfreeze"" option which asks you to contact the service provider to be able to use the SIM card. The bluetooth isn't perfect and it sometimes drops.",
B004Z29550,The case is decorative and provides moderate protection. The shipping is fast. The product fits snug to the phone. It can be hard to remove if needed.,"this case is offered in many colors, however this case is not as durable as most would hope for. shipping can be an issue. also even though it is offered in different colors sometimes the colors are not what you would expect.",The case seems to be red and bright and it is overall worth of the price and the price is cheap.,
B004ZS9ZP4,"the case is well made, it's affordable, and arrives quickly. however, it is not sturdy but it does a nice job considering the price.","This case protects the Samsung Infuse and other similar phones. It has a protective plastic screen protector, and comes in front and back pieces which snap over the phone. This case offers a unique 3D look and fits the phone snug but still leaves all functionality to the phones buttons.","this phone case has a gentle and fun aesthetic and does not add bulk to the phone. however, the thinness of the material makes the case more decorative than protective.",
B0052CHOS2,overall the quality of the keyboard is mediocre but it works just fine for its function and needs a longer battery life,this product is good in quality and price-wise however there is an issue with the keyboard.,the keyboard is very good to used. features are very nice. and it is like too bulky. did not connected to some type of phones. some times little issue for this keyboard. otherwise a good keyboard to worth of money.,
B005441EVQ,the powerskin has a long battery life. it was light and pairs with the htc sensation.,"a bulky product, that is a bit exaggerated on its size but does double the phone's battery life. the only problem is that its quality falls short after the first few months.","this case will add some bulk, but also a better grip, to your phone. the material is silicone. battery life is extended for your phone and little weight is added.",
B0055AWHP6,a korean translation guide book that is quite useful to understand the meaning if you like to watch korean movies without subtitles. this book does not have basic hangul but helps you to learn to speak not to read.,the book is not a good way to learn korean and has many misspellings and typos,"the book received mostly negative comments from reviewers. a common complaint is about the lack of hangul (the korean alphabet) and the use of romanized words, which do not allow readers to properly learn the language. others nevertheless found the book useful and some were even enthusiastic about it.",2 disagreements
B0055BKII8,a cheap product easy to fit into the cell phone and fragile that does not last long most of the time.,"the price of the case is low, however the product's quality is poor and the phone case easily gets dirty.","an iphone case that works with the newest models. designed to protect your phone, this case is easy to slip on.",2 disagreements
B0055S1U1K,"a case with a lot of glitter, sometimes too small for your phone, but works well, more for girls.","the case is very sparkly and attractive, but users find that the glitter tends to fall off over time and doesn't always have a very snug fit.",The case is pretty but the glitten tends to come off and it does not protect the phone since it doesn't fit it well.,
B0057BE9PO,"Overall most reviews are positive about the phone, while some people have batteries issues. The phone is lacking in durability and sound quality.  But for the value, most seem to enjoy the phone and would recommend it to others.",the motorola theory is cheap but also very easy to use. it has all the features other phones have and doesn't require internet.,"at the price this phone is a great value for the money, but don't expect a lot of bells and whistles.",
B005AMUTJ0,"This is a puzzle book containing age old, timeless riddles, written in older style English.",a riddle book in old language best suits for adults and gives some good exercise for the brain. some might find difficult to find answers but overall an interesting book for the pastimes.,"this book provides interesting riddles to stimulate the brain. it is written in old english and has classic riddles, questions, and answers that are challenging. it makes you think a lot and may be best for adults and teenagers.",
B005BA72GO,This phone  has a good 3D and battery backup very low. but phone size is very big.,"the phone is big, fast and has a very good 3d technology. the battery drains out fast but flashing a different rom can solve the issues. it is highly recommended for the mobile lovers.","while a few people had no issues with this phone, they were the exception.  this product seems to be used, missing the sims card and has trouble with updates.  there is also concern about lack of warranty that comes with this phone.",
